iter	Accuracy	Logloss
0	0.710825	0.666472187
1	0.730725	0.6437903108
2	0.743425	0.6225749415
3	0.75365	0.6040730533
4	0.759525	0.5894610762
5	0.7653	0.5764625262
6	0.769075	0.56563725
7	0.77295	0.5551256657
8	0.773975	0.5469956521
9	0.77615	0.5389470472
10	0.780075	0.5310316066
11	0.7809	0.5233657806
12	0.783525	0.5173031533
13	0.7849	0.5109192124
14	0.7884	0.5054710906
15	0.789	0.5001592171
16	0.791075	0.494829811
17	0.79255	0.4904065279
18	0.7934	0.485959673
19	0.795625	0.4822951321
20	0.7956	0.4781539718
21	0.7963	0.4749028507
22	0.79725	0.4717345409
23	0.799125	0.4687398886
24	0.7998	0.4659010696
25	0.80005	0.4631258305
26	0.80085	0.4607397602
27	0.802575	0.4582970757
28	0.8032	0.4558180946
29	0.80475	0.4536451348
30	0.80615	0.4514905743
31	0.8067	0.4493812771
32	0.80745	0.4474768015
33	0.8081	0.4454592792
34	0.8092	0.4433610389
35	0.81075	0.4413236561
36	0.81085	0.4394482183
37	0.812	0.4376001129
38	0.81225	0.4358926061
39	0.81315	0.4342638152
40	0.81355	0.4328292159
41	0.8154	0.4313191569
42	0.815525	0.4298316533
43	0.81645	0.4283463882
44	0.816575	0.4268156831
45	0.817425	0.4251962148
46	0.818175	0.4238536151
47	0.8183	0.4226478574
48	0.819425	0.4211505513
49	0.820075	0.4197172311
50	0.82055	0.4185016907
51	0.821175	0.4172455834
52	0.821475	0.4161882069
53	0.8222	0.4149835958
54	0.8232	0.4136360692
55	0.823625	0.4125154355
56	0.82365	0.4114787132
57	0.823975	0.4105186723
58	0.824425	0.4094238771
59	0.82495	0.4084216382
60	0.826025	0.4074121157
61	0.826125	0.4064151794
62	0.8267	0.4054231049
63	0.82715	0.4045047515
64	0.82765	0.4035543796
65	0.82765	0.4025496892
66	0.8284	0.4015283524
67	0.828375	0.4006088281
68	0.8288	0.3996810214
69	0.8299	0.3988750413
70	0.830275	0.3980673438
71	0.83115	0.3973016422
72	0.830975	0.3964254159
73	0.83125	0.3956115884
74	0.8319	0.3947962269
75	0.832225	0.3939484214
76	0.8328	0.3932233374
77	0.833175	0.3924976213
78	0.833325	0.3918271923
79	0.834275	0.3911235296
80	0.8345	0.3904533594
81	0.83485	0.3896597905
82	0.83475	0.3889808924
83	0.8356	0.3882641956
84	0.835625	0.3875230231
85	0.835675	0.3867739663
86	0.8364	0.3860531226
87	0.837275	0.3853278245
88	0.8372	0.3844936205
89	0.8373	0.3838139792
90	0.837975	0.3831647822
