iter	Passed	Remaining
0	85	42884
1	106	26576
2	124	20546
3	142	17624
4	162	16039
5	182	15025
6	200	14121
7	220	13545
8	238	13014
9	257	12624
10	275	12265
11	295	12010
12	319	11953
13	338	11762
14	357	11548
15	377	11414
16	394	11211
17	414	11112
18	432	10940
19	450	10814
20	470	10721
21	487	10595
22	505	10481
23	529	10498
24	600	11410
25	617	11261
26	635	11139
27	654	11039
28	676	10988
29	695	10889
30	713	10795
31	732	10716
32	750	10624
33	770	10554
34	789	10484
35	808	10418
36	827	10352
37	846	10296
38	865	10226
39	883	10157
40	901	10091
41	921	10045
42	940	9992
43	959	9942
44	978	9890
45	997	9841
46	1016	9801
47	1035	9751
48	1054	9702
49	1072	9649
50	1090	9599
51	1108	9549
52	1126	9500
53	1144	9455
54	1162	9404
55	1179	9353
56	1197	9305
57	1214	9255
58	1232	9215
59	1251	9174
60	1269	9135
61	1288	9102
62	1306	9061
63	1324	9021
64	1342	8985
65	1362	8958
66	1380	8920
67	1398	8885
68	1416	8848
69	1434	8814
70	1452	8775
71	1471	8745
72	1490	8720
73	1509	8687
74	1528	8660
75	1547	8633
76	1565	8600
77	1583	8566
78	1601	8536
79	1619	8504
80	1637	8471
81	1655	8441
82	1673	8407
83	1691	8375
84	1710	8353
85	1731	8335
86	1750	8308
87	1769	8285
88	1791	8274
89	1810	8248
90	1832	8238
91	1851	8209
92	1868	8178
93	1886	8148
94	1904	8117
95	1923	8093
96	1942	8072
97	1963	8056
98	1983	8035
99	2002	8009
100	2026	8005
101	2053	8012
102	2078	8012
103	2101	8000
104	2123	7989
105	2147	7981
106	2170	7972
107	2193	7960
108	2215	7945
109	2237	7931
110	2264	7934
111	2296	7954
112	2314	7926
113	2332	7897
114	2350	7869
115	2369	7843
116	2389	7821
117	2407	7793
118	2425	7766
119	2444	7741
120	2464	7719
121	2485	7699
122	2502	7668
123	2520	7644
124	2539	7617
125	2556	7589
126	2575	7563
127	2593	7536
128	2611	7509
129	2628	7482
130	2648	7459
131	2665	7431
132	2684	7406
133	2701	7379
134	2719	7352
135	2740	7335
136	2759	7312
137	2778	7287
138	2796	7262
139	2814	7237
140	2832	7211
141	2850	7185
142	2868	7161
143	2886	7135
144	2904	7109
145	2921	7083
146	2939	7058
147	2958	7037
148	2978	7016
149	2995	6989
150	3012	6963
151	3030	6938
152	3048	6914
153	3067	6892
154	3084	6865
155	3102	6840
156	3121	6819
157	3138	6793
158	3156	6769
159	3174	6745
160	3192	6721
161	3209	6695
162	3225	6669
163	3242	6644
164	3259	6618
165	3276	6592
166	3293	6567
167	3311	6543
168	3329	6520
169	3348	6499
170	3366	6476
171	3385	6455
172	3402	6431
173	3419	6407
174	3437	6384
175	3453	6357
176	3470	6333
177	3487	6308
178	3503	6283
179	3521	6261
180	3537	6234
181	3556	6213
182	3572	6188
183	3589	6164
184	3606	6141
185	3624	6119
186	3641	6095
187	3658	6072
188	3674	6046
189	3692	6024
190	3709	6001
191	3726	5978
192	3743	5954
193	3761	5933
194	3777	5908
195	3794	5884
196	3811	5862
197	3828	5838
198	3843	5813
199	3861	5792
200	3878	5769
201	3895	5746
202	3912	5724
203	3929	5701
204	3944	5676
205	3962	5655
206	3980	5634
207	3997	5611
208	4013	5588
209	4029	5564
210	4046	5542
